Year,Circuit,DriverNumber,DrivingStyle,CircuitType,LapTime_AvgPace,LapTime_PaceConsistency,LapTime_PeakPace,SectorBalance,PointsFinish
2021,Baku,3,Aggressive,HighSpeed,116.7906,20.381931683585886,105.71300000000001,-5.45914,1
2021,Baku,3,Cautious,HighSpeed,116.7906,20.381931683585886,105.71300000000001,-5.45914,1
2021,Baku,4,Aggressive,HighSpeed,116.69427999999999,20.986626571725246,105.32599999999998,-5.4117,1
2021,Baku,4,Cautious,HighSpeed,116.69427999999999,20.997169966799657,105.32599999999998,-5.4117,1
2021,Baku,5,Aggressive,HighSpeed,116.67496,22.063568299550845,104.89,-5.4769000000000005,1
2021,Baku,5,Balanced,HighSpeed,116.67496,22.082070246868852,104.89,-5.4769,1
2021,Baku,6,Cautious,HighSpeed,116.36149999999999,16.946248135779104,106.608,-5.90079,0
2021,Baku,7,Aggressive,HighSpeed,116.77582000000001,18.71308264874319,105.601,-5.33634,1
2021,Baku,7,Balanced,HighSpeed,116.77582,18.728774963994475,105.601,-5.33634,1
2021,Baku,7,Cautious,HighSpeed,116.77582000000001,18.855751163677642,105.71866666666666,-5.33634,1
2021,Baku,9,Aggressive,HighSpeed,118.96304081632654,19.15289321737724,107.771,-5.577734693877551,0
2021,Baku,9,Balanced,HighSpeed,118.96304081632654,19.15289321737724,107.771,-5.577734693877551,0
2021,Baku,10,Aggressive,HighSpeed,116.6512,22.05346830995052,105.21999999999998,-5.09228,1
2021,Baku,10,Balanced,HighSpeed,116.65119999999999,22.232767751171938,105.28866666666666,-5.09228,1
2021,Baku,10,Cautious,HighSpeed,116.6512,22.08305044036438,105.21999999999998,-5.09228,1
2021,Baku,11,Aggressive,HighSpeed,116.62281999999999,23.7582034807086,104.687,-4.76612,1
2021,Baku,11,Balanced,HighSpeed,116.62281999999999,23.778126505996394,104.687,-4.76612,1
2021,Baku,14,Aggressive,HighSpeed,116.75847999999999,19.106994448027354,105.62399999999998,-5.43442,1
2021,Baku,14,Balanced,HighSpeed,116.75848,19.116593541548234,105.62399999999998,-5.43442,1
2021,Baku,16,Aggressive,HighSpeed,116.66246000000001,21.776345442053564,105.382,-5.1321,1
2021,Baku,16,Balanced,HighSpeed,116.66246,21.805555844777984,105.382,-5.1321,1
2021,Baku,22,Aggressive,HighSpeed,116.73298,21.531743855630488,104.93900000000001,-5.49505,1
2021,Baku,22,Balanced,HighSpeed,116.73298,21.567840685423562,104.93900000000001,-5.49505,1
2021,Baku,22,Cautious,HighSpeed,116.73298000000001,21.71406500873739,105.27366666666666,-5.49505,1
2021,Baku,31,Aggressive,HighSpeed,120.56833333333333,8.64997533233478,110.84999999999998,-5.334833333333334,0
2021,Baku,31,Balanced,HighSpeed,120.56833333333334,9.98813117321421,120.56833333333334,-5.334833333333335,0
2021,Baku,33,Aggressive,HighSpeed,114.12364444444444,22.142992182060695,104.481,-5.211744444444444,0
2021,Baku,33,Balanced,HighSpeed,114.12364444444445,22.155359115268375,104.481,-5.211744444444444,0
2021,Baku,44,Aggressive,HighSpeed,116.98468000000001,23.928944313054977,104.769,-4.8627199999999995,0
2021,Baku,44,Balanced,HighSpeed,116.98468000000001,23.908928463200965,104.769,-4.86272,0
2021,Baku,47,Aggressive,HighSpeed,115.8604081632653,14.602844128004055,107.62399999999998,-5.408704081632653,0
2021,Baku,47,Balanced,HighSpeed,115.8604081632653,14.62791340676478,107.67233333333333,-5.408704081632653,0
2021,Baku,55,Aggressive,HighSpeed,116.75453999999999,20.26393539460644,105.7,-5.47892,1
2021,Baku,55,Balanced,HighSpeed,116.75454,20.280928215533542,105.7,-5.47892,1
2021,Baku,63,Aggressive,HighSpeed,116.712625,19.10331820920372,105.959,-5.539750000000001,0
2021,Baku,63,Balanced,HighSpeed,116.712625,19.255135046101785,106.04466666666667,-5.539750000000001,0
2021,Baku,63,Cautious,HighSpeed,116.712625,19.15352412550536,105.99066666666666,-5.539750000000001,0
2021,Baku,77,Aggressive,HighSpeed,116.72702000000001,20.63672607931525,105.665,-5.56855,0
2021,Baku,77,Balanced,HighSpeed,116.72702000000001,20.63672607931525,105.665,-5.56855,0
2021,Barcelona,3,Aggressive,Technical,85.77951515151516,8.472922531234547,81.853,2.603333333333333,1
2021,Barcelona,3,Cautious,Technical,85.77951515151516,8.472922531234547,81.853,2.603333333333333,1
2021,Barcelona,4,Aggressive,Technical,86.34253846153847,7.919706784845618,81.279,2.6378384615384616,1
2021,Barcelona,4,Cautious,Technical,86.34253846153847,7.919706784845618,81.279,2.6378384615384616,1
2021,Barcelona,5,Aggressive,Technical,86.72378461538462,7.723633088930794,82.82,2.7026846153846154,0
2021,Barcelona,5,Balanced,Technical,86.72378461538462,7.768756937833412,82.93533333333333,2.7026846153846154,0
2021,Barcelona,5,Cautious,Technical,86.72378461538462,7.728608054399249,82.82,2.7026846153846154,0
2021,Barcelona,6,Aggressive,Technical,87.04418461538462,6.8426365552758295,82.905,2.6971153846153846,0
2021,Barcelona,6,Balanced,Technical,87.04418461538462,6.851471467354923,82.91733333333333,2.6971153846153846,0
2021,Barcelona,6,Cautious,Technical,87.04418461538462,6.8781829583934915,82.93566666666665,2.6971153846153846,0
2021,Barcelona,7,Aggressive,Technical,86.65886153846154,7.324443787919001,82.89033333333333,2.5192153846153844,0
2021,Barcelona,7,Balanced,Technical,86.65886153846154,7.324443787919001,82.89033333333333,2.5192153846153844,0
2021,Barcelona,9,Aggressive,Technical,88.14459375,6.680721708478718,84.04,2.724078125,0
2021,Barcelona,9,Balanced,Technical,88.14459375,6.680721708478718,84.04,2.724078125,0
2021,Barcelona,10,Aggressive,Technical,86.56047692307692,8.023679293736256,81.375,2.7713846153846156,1
2021,Barcelona,10,Cautious,Technical,86.56047692307692,8.039214021336832,81.379,2.7713846153846156,1
2021,Barcelona,11,Aggressive,Technical,85.62653030303031,8.50667312741281,79.483,2.5375227272727274,1
2021,Barcelona,11,Balanced,Technical,85.6265303030303,8.526131802767216,79.97366666666666,2.5375227272727274,1
2021,Barcelona,11,Cautious,Technical,85.6265303030303,8.509906989201337,79.483,2.5375227272727274,1
2021,Barcelona,14,Aggressive,Technical,87.04913846153846,7.845812256569567,81.182,2.6006384615384617,0
2021,Barcelona,14,Balanced,Technical,87.04913846153846,7.894696294975753,81.99633333333334,2.6006384615384617,0
2021,Barcelona,14,Cautious,Technical,87.04913846153846,7.848840943135393,81.182,2.6006384615384617,0
2021,Barcelona,16,Aggressive,Technical,85.48933333333333,8.712796219034978,80.459,2.4447121212121212,1
2021,Barcelona,16,Balanced,Technical,85.48933333333333,8.718315887766666,80.459,2.4447121212121212,1
2021,Barcelona,16,Cautious,Technical,85.48933333333333,8.768469604797438,80.81533333333333,2.4447121212121212,1
2021,Barcelona,18,Aggressive,Technical,86.64103076923078,7.617202611746225,82.607,2.564669230769231,0
2021,Barcelona,18,Balanced,Technical,86.64103076923078,7.617202611746225,82.607,2.564669230769231,0
2021,Barcelona,22,Aggressive,Technical,88.1965,4.9366315622920665,84.93266666666666,2.270333333333333,0
2021,Barcelona,22,Cautious,Technical,88.1965,4.9366315622920665,84.93266666666666,2.270333333333333,0
2021,Barcelona,31,Aggressive,Technical,86.55755384615385,7.82246108187781,83.311,2.522684615384615,1
2021,Barcelona,31,Cautious,Technical,86.55755384615385,7.825480754285932,83.311,2.5226846153846156,1
2021,Barcelona,33,Aggressive,Technical,84.90183333333333,9.956201710682523,78.149,2.461931818181818,1
2021,Barcelona,33,Balanced,Technical,84.90183333333333,10.019820260299978,79.30466666666666,2.461931818181818,1
2021,Barcelona,33,Cautious,Technical,84.90183333333333,9.981503407671296,78.639,2.461931818181818,1
2021,Barcelona,44,Aggressive,Technical,84.66181818181819,9.574747584590954,80.665,2.543037878787879,1
2021,Barcelona,44,Balanced,Technical,84.66181818181819,9.580813310625148,80.665,2.5430378787878785,1
2021,Barcelona,44,Cautious,Technical,84.66181818181819,9.59907989214852,80.68599999999999,2.5430378787878785,1
2021,Barcelona,47,Aggressive,Technical,87.3655,6.977589731615434,82.637,2.678984375,0
2021,Barcelona,47,Balanced,Technical,87.3655,6.9913116519128975,82.64,2.678984375,0
2021,Barcelona,55,Aggressive,Technical,85.79318181818182,8.069541421359467,81.568,2.6414469696969696,1
2021,Barcelona,55,Cautious,Technical,85.79318181818182,8.072609104960632,81.568,2.6414469696969696,1
2021,Barcelona,63,Aggressive,Technical,86.8684923076923,6.508397401025116,83.208,2.749153846153846,0
2021,Barcelona,63,Cautious,Technical,86.8684923076923,6.512589605904899,83.208,2.7491538461538463,0
2021,Barcelona,77,Aggressive,Technical,85.065,8.741054944922395,79.43,2.6041287878787878,1
2021,Barcelona,77,Balanced,Technical,85.065,8.744377908336425,79.43,2.6041287878787878,1
2021,Barcelona,77,Cautious,Technical,85.065,8.794681551938078,79.921,2.6041287878787878,1
2021,Barcelona,99,Aggressive,Technical,86.89486153846154,10.018848329497786,82.802,2.684123076923077,0
2021,Barcelona,99,Balanced,Technical,86.89486153846154,10.077381534401876,82.952,2.684123076923077,0
2021,Barcelona,99,Cautious,Technical,86.89486153846154,10.025301694630363,82.802,2.684123076923077,0
2021,Hungaroring,3,Aggressive,Technical,87.34983823529411,13.986236514021,82.802,-2.536110294117647,0
2021,Hungaroring,3,Cautious,Technical,87.34983823529411,13.986236514021,82.802,-2.536110294117647,0
2021,Hungaroring,4,Aggressive,Technical,164.579,23.352366427790088,142.425,0.40399999999999636,0
2021,Hungaroring,4,Balanced,Technical,164.579,31.33048726081354,164.579,0.40399999999999636,0
2021,Hungaroring,4,Cautious,Technical,164.579,23.683622213311388,142.425,0.40399999999999636,0
2021,Hungaroring,5,Aggressive,Technical,85.46530434782608,12.569144714182306,81.459,-2.5375942028985503,0
2021,Hungaroring,5,Balanced,Technical,85.46530434782608,12.573714481544402,81.459,-2.5375942028985508,0
2021,Hungaroring,6,Aggressive,Technical,86.64105797101449,12.92375908660719,82.831,-2.6988333333333334,1
2021,Hungaroring,6,Balanced,Technical,86.64105797101449,12.986956329428084,82.91000000000001,-2.6988333333333334,1
2021,Hungaroring,6,Cautious,Technical,86.64105797101449,12.939471869415241,82.84833333333334,-2.6988333333333334,1
2021,Hungaroring,7,Aggressive,Technical,87.07005882352941,14.236764949268451,81.518,-2.395889705882353,1
2021,Hungaroring,7,Balanced,Technical,87.07005882352941,14.24201739916094,81.518,-2.395889705882353,1
2021,Hungaroring,7,Cautious,Technical,87.07005882352941,14.321508346187596,81.59466666666667,-2.395889705882353,1
2021,Hungaroring,9,Aggressive,Technical,163.6405,28.31342216511454,137.794,-2.95575,0
2021,Hungaroring,9,Balanced,Technical,163.6405,29.844967465219312,155.025,-2.95575,0
2021,Hungaroring,9,Cautious,Technical,163.6405,36.55247083987619,163.6405,-2.95575,0
2021,Hungaroring,10,Aggressive,Technical,86.541115942029,14.269100236394928,78.394,-2.3310507246376813,1
2021,Hungaroring,10,Cautious,Technical,86.541115942029,14.274288057048569,78.394,-2.3310507246376813,1
2021,Hungaroring,14,Aggressive,Technical,85.70376811594203,13.244190660595795,80.359,-2.2183405797101448,1
2021,Hungaroring,14,Cautious,Technical,85.70376811594203,13.257042862223212,80.359,-2.218340579710145,1
2021,Hungaroring,22,Aggressive,Technical,86.58673913043478,12.856220556491081,82.508,-2.6395942028985506,1
2021,Hungaroring,22,Balanced,Technical,86.58673913043478,12.856220556491081,82.508,-2.6395942028985506,1
2021,Hungaroring,22,Cautious,Technical,86.58673913043478,12.856220556491081,82.508,-2.6395942028985506,1
2021,Hungaroring,31,Aggressive,Technical,85.39640579710145,12.341207407336464,81.421,-2.2341521739130434,1
2021,Hungaroring,31,Balanced,Technical,85.39640579710145,12.413590476142582,81.45100000000001,-2.2341521739130434,1
2021,Hungaroring,31,Cautious,Technical,85.39640579710145,12.368202424806444,81.42366666666668,-2.2341521739130434,1
2021,Hungaroring,33,Aggressive,Technical,86.87411594202898,15.108923431860315,80.945,-2.3804275362318843,1
2021,Hungaroring,33,Balanced,Technical,86.874115942029,15.118077582007574,80.945,-2.3804275362318843,1
2021,Hungaroring,44,Aggressive,Technical,85.20379710144928,12.13982477534853,78.715,-2.177855072463768,1
2021,Hungaroring,44,Balanced,Technical,85.20379710144927,12.169326215632212,78.81933333333335,-2.177855072463768,1
2021,Hungaroring,44,Cautious,Technical,85.20379710144927,12.147180016723329,78.715,-2.177855072463768,1
2021,Hungaroring,55,Aggressive,Technical,85.66797101449275,12.923589044582977,81.51666666666667,-2.2765289855072464,1
2021,Hungaroring,55,Balanced,Technical,85.66797101449275,12.923589044582977,81.51666666666667,-2.2765289855072464,1
2021,Hungaroring,55,Cautious,Technical,85.66797101449275,12.923589044582977,81.51666666666667,-2.2765289855072464,1
2021,Hungaroring,63,Aggressive,Technical,86.67133333333334,13.39480253789231,82.112,-2.743289855072464,1
2021,Hungaroring,63,Balanced,Technical,86.67133333333334,13.460303185409211,82.13266666666667,-2.743289855072464,1
2021,Hungaroring,63,Cautious,Technical,86.67133333333334,13.411088018117098,82.12033333333333,-2.743289855072464,1
2021,Hungaroring,99,Aggressive,Technical,87.66497058823529,15.161226665626765,82.736,-2.339948529411765,0
2021,Hungaroring,99,Balanced,Technical,87.66497058823529,15.161226665626765,82.736,-2.339948529411765,0
2021,Monaco,3,Balanced,Street,77.69901298701299,3.118038618581974,74.578,0.15540909090909075,0
2021,Monaco,3,Cautious,Street,77.69901298701298,3.1171696403630835,74.578,0.15540909090909077,0
2021,Monaco,4,Balanced,Street,76.36214102564102,2.3867391390658166,74.67,0.22619871794871782,1
2021,Monaco,4,Cautious,Street,76.36214102564102,2.3887104744408165,74.67,0.22619871794871785,1
2021,Monaco,5,Balanced,Street,76.78732051282051,2.468131898837312,75.316,0.18092948717948718,1
2021,Monaco,5,Cautious,Street,76.78732051282051,2.4832687951416768,75.359,0.18092948717948718,1
2021,Monaco,6,Balanced,Street,78.04811688311688,3.1705616901938294,75.573,0.18616233766233775,0
2021,Monaco,7,Balanced,Street,77.6710909090909,2.8982409359945875,74.971,0.22571428571428573,0
2021,Monaco,9,Cautious,Street,79.66484,3.5402748983953782,76.866,0.08574000000000002,0
2021,Monaco,10,Balanced,Street,76.80405128205129,2.4243611285012525,75.412,0.24764743589743585,1
2021,Monaco,10,Cautious,Street,76.80405128205129,2.4289090429634794,75.412,0.24764743589743585,1
2021,Monaco,11,Balanced,Street,76.37576923076922,2.661983523182057,74.552,0.1522115384615385,1
2021,Monaco,11,Cautious,Street,76.37576923076924,2.678354509977886,74.655,0.1522115384615385,1
2021,Monaco,14,Balanced,Street,77.70535064935065,3.023740726040425,75.026,0.19443506493506493,0
2021,Monaco,18,Balanced,Street,77.16879220779221,2.6744814912014845,74.674,0.17117532467532479,1
2021,Monaco,18,Cautious,Street,77.16879220779222,2.678950135071554,74.674,0.17117532467532476,1
2021,Monaco,22,Balanced,Street,78.05797402597402,3.218128768268236,74.037,0.2548116883116884,0
2021,Monaco,22,Cautious,Street,78.05797402597402,3.237127397676856,74.58300000000001,0.2548116883116884,0
2021,Monaco,31,Balanced,Street,77.64812987012988,2.5680378107006594,75.316,0.2162792207792208,1
2021,Monaco,31,Cautious,Street,77.64812987012986,2.5838900464968506,75.44166666666666,0.2162792207792208,1
2021,Monaco,33,Balanced,Street,75.90235064935065,1.1517666607062627,74.649,0.06514935064935057,1
2021,Monaco,33,Cautious,Street,75.90235064935065,1.1550554157685673,74.67066666666666,0.06514935064935057,1
2021,Monaco,44,Balanced,Street,76.98783333333333,3.018308773238271,72.909,0.31473076923076926,1
2021,Monaco,55,Balanced,Street,76.22805128205128,2.430137872603298,74.621,0.2776346153846154,1
2021,Monaco,55,Cautious,Street,76.22805128205128,2.4316241956001297,74.621,0.2776346153846154,1
2021,Monaco,63,Balanced,Street,78.03403896103896,3.2294294862382333,75.539,0.27053896103896113,0
2021,Monaco,63,Cautious,Street,78.03403896103896,3.233449075454665,75.539,0.27053896103896113,0
2021,Monaco,77,Balanced,Street,76.793,1.2722655125934101,75.706,0.06722413793103425,0
2021,Monaco,99,Balanced,Street,77.65353246753247,2.7262042899942585,75.331,0.1507597402597403,1
2021,Monaco,99,Cautious,Street,77.65353246753247,2.7432325897916727,75.43400000000001,0.1507597402597403,1
2021,Monza,3,Aggressive,HighSpeed,92.7238679245283,17.944571756995728,84.812,0.5972452830188678,1
2021,Monza,3,Cautious,HighSpeed,92.72386792452829,17.97699196727045,84.812,0.5972452830188678,1
2021,Monza,4,Aggressive,HighSpeed,92.75683018867925,17.315534975798847,84.971,0.5108773584905663,1
2021,Monza,4,Cautious,HighSpeed,92.75683018867925,17.315534975798847,84.971,0.5108773584905663,1
2021,Monza,5,Aggressive,HighSpeed,93.18841509433963,15.164020066366847,85.938,0.3846603773584905,0
2021,Monza,5,Balanced,HighSpeed,93.18841509433963,15.191416692255714,85.938,0.3846603773584905,0
2021,Monza,6,Aggressive,HighSpeed,93.17184905660378,15.811810172276273,85.95300000000002,0.2122358490566037,0
2021,Monza,6,Balanced,HighSpeed,93.17184905660378,15.83181247018154,85.95300000000002,0.21223584905660373,0
2021,Monza,9,Aggressive,HighSpeed,95.95409756097561,15.351286381566421,87.202,0.630878048780488,0
2021,Monza,9,Balanced,HighSpeed,95.95409756097561,15.504039262084053,87.47733333333333,0.6308780487804879,0
2021,Monza,10,Aggressive,HighSpeed,106.783,13.93849755486425,89.005,-1.9273333333333322,0
2021,Monza,10,Cautious,HighSpeed,106.783,14.947373387990284,95.72766666666666,-1.9273333333333322,0
2021,Monza,11,Aggressive,HighSpeed,92.79411320754717,18.504407121983682,85.156,0.2728207547169812,1
2021,Monza,11,Balanced,HighSpeed,92.79411320754717,18.574766338244885,85.19533333333334,0.2728207547169812,1
2021,Monza,11,Cautious,HighSpeed,92.79411320754717,18.663854457686565,85.23700000000001,0.2728207547169812,1
2021,Monza,14,Aggressive,HighSpeed,93.04841509433963,16.520424849067734,85.472,0.3144811320754718,1
2021,Monza,14,Balanced,HighSpeed,93.04841509433963,16.520424849067734,85.472,0.3144811320754718,1
2021,Monza,14,Cautious,HighSpeed,93.04841509433962,16.625987743282135,85.61466666666666,0.3144811320754718,1
2021,Monza,16,Aggressive,HighSpeed,92.86177358490566,18.66703150063078,85.319,0.11579245283018869,1
2021,Monza,16,Balanced,HighSpeed,92.86177358490566,18.73358084361979,85.383,0.11579245283018869,1
2021,Monza,18,Aggressive,HighSpeed,93.02205660377359,16.686976742920024,85.853,0.12429245283018876,1
2021,Monza,18,Balanced,HighSpeed,93.02205660377358,16.694883389534226,85.853,0.12429245283018878,1
2021,Monza,31,Aggressive,HighSpeed,93.1176037735849,16.67517125749852,85.56599999999999,0.3117169811320756,1
2021,Monza,31,Cautious,HighSpeed,93.1176037735849,16.812042264102995,85.81400000000001,0.31171698113207563,1
2021,Monza,33,Aggressive,HighSpeed,88.54992,5.900011630479977,85.173,0.67958,0
2021,Monza,33,Balanced,HighSpeed,88.54992,5.908926284212565,85.173,0.67958,0
2021,Monza,44,Aggressive,HighSpeed,87.6894,3.755303902720219,85.87,-0.012339999999999946,0
2021,Monza,44,Cautious,HighSpeed,87.6894,3.784990561549711,85.92200000000001,-0.012339999999999946,0
2021,Monza,47,Aggressive,HighSpeed,93.68779245283018,13.657869948448432,86.707,0.21424528301886772,0
2021,Monza,55,Aggressive,HighSpeed,92.92264150943396,17.58676491091915,85.55900000000001,0.21082075471698108,1
2021,Monza,55,Balanced,HighSpeed,92.92264150943396,17.7341132123009,85.64233333333334,0.21082075471698108,1
2021,Monza,55,Cautious,HighSpeed,92.92264150943396,17.64946302390431,85.59033333333333,0.21082075471698108,1
2021,Monza,63,Aggressive,HighSpeed,93.09635849056605,16.529999015984075,85.835,0.17783018867924527,1
2021,Monza,63,Balanced,HighSpeed,93.09635849056603,16.55986353719955,85.835,0.17783018867924527,1
2021,Monza,63,Cautious,HighSpeed,93.09635849056603,16.586128206419495,85.83866666666665,0.17783018867924527,1
2021,Monza,77,Aggressive,HighSpeed,92.81671698113207,17.863879481735633,84.827,0.1590283018867926,1
2021,Monza,77,Cautious,HighSpeed,92.81671698113207,18.019355689814553,85.096,0.15902830188679257,1
2021,Monza,88,Aggressive,HighSpeed,93.28554716981132,16.239886778359764,85.98266666666666,0.2848584905660379,0
2021,Monza,88,Balanced,HighSpeed,93.28554716981132,16.214170393613745,85.849,0.2848584905660379,0
2021,Monza,99,Aggressive,HighSpeed,93.23737735849058,15.638486911080204,85.718,1.0182641509433963,0
